遮瑕效果超级好，很亮，很白，很喜欢是我想要的,遮瑕效果|超级好,1
补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子,价格|快,0
好，不错价格实惠物流快,价格|快,0
用着挺不错的，价钱也不贵，脸上用了挺水润的，没有那么干了,价钱|不贵,1
送货快，服务好，非常棒,服务|快,0
性价比不错，挺优惠的。以后会考虑回购,性价比|不错,1
非常不错，泡沫细腻，味道很好闻，棒棒哒,味道|很好闻,1
快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实,快递员|很好,1
宝贝到了，包装完整，打开后宝贝也很漂亮，味道也是很不错，满意,味道|很不错,1
价格很便宜，味道清新，用后很舒适清爽,价格|便宜,1
补水效果非常好！精华液也特别多！好评,补水效果|非常好,1
味道挺好闻的，上妆效果很好,上妆效果|挺好闻的,0
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,清洗|优雅,0
**物流真不错，前一天下单第二天就收到了。第二天迫不及待的都打开来试了一下，细腻滋润，好评,物流|真不错,1
到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢,隔离效果|实惠,0
保质期四年，买到手还剩两年，怪不得便宜了，应当提前告知不足四年的,保质期|不足四年,1
过母亲节送给妈妈的礼物，价钱合理，赠品很多，希望能达到预期的效果,赠品|合理,0
很好，很喜欢。建议购买。我还分了一盒给我妈，我觉得卸妆也挺好的，还有泡沫很多哦,卸妆|很多,0
物流超级给力，质量很好，价格也合适,价格|超级给力,0
一打开味道太刺鼻了，塑料味太浓了！不敢用了,味道|太刺鼻,1
没有多少面膜液，比以前用的差了很多，给五星是为了方便大家看到。不会再来买了,面膜液|没有多少,1
感谢客服的耐心，物流超快，虽然还没用，相信效果非常好,客服|耐心,1
好用，性价比很高,性价比|很高,1
很不错，包装精致还没开始用呢,包装|精致,1
不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西,服务|非常好,1
速度真快，之前用过一瓶，效果很好,速度|真快,1
个人情况：东西很棒买了两只泡沫挺多的味道有点香推荐入手,泡沫|有点香,0
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,味道|不错,0
清洁能力：感觉还行，泡沫不会太多，容易清洁，洗完脸不会很干！忘记拍照了,清洁能力|还行,1
用了，觉得补水效果还行,补水效果|还行,1
值得拥有！速度很快哦，女生长大了一定要用隔离,速度|很快,1
已多次购买，品质好，服务好，开票也快,品质|好,1
听服帖，自然，关键价格便宜,价格|便宜,1
整体描述：包装很紧密，清洁能力：清洁效果好，味道很香,味道|好,0
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,淡斑|没感觉到,1
物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错,物流|很多,0
非常喜欢，物超所值。超赞，物流还常快，商家服务好,商家服务|常快,0
用过了才来评价，有淡淡的香味，不油腻，很容易就拍散了，很好用,香味|淡淡的,1
颜值较高，用着不错，家里的东西基本都在**买，**值得信赖,颜值|较高,1
价格优惠，泡沫多，洗后不紧绷，特别干净,价格|优惠,1
东西很好，物流很快，价格实惠,物流|实惠,0
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,活动|很彻底,0
非常不错，泡沫细腻，味道很好闻，棒棒哒,泡沫|很好闻,0
我经常在这家买，但这是的快递太不靠谱了，商家也不解决，只是一个劲的说这处理，以后不在这买了,商家|太不靠谱,0
一个大大的快递盒，一阵欣喜，以为送了不少赠品，然而并没有，哈哈，下次就换个小盒子好嘛,快递盒|大大的,1
每次都买这款，真心好用，保湿效果好，很贴肤，很细腻，质量绝对，客服态度也好,客服态度|好,1
包装精美，质量上乘，价格合理，值得购买,包装|精美,1
看着不错和以前买的一样还没用快递小哥很给力服务很好,快递小哥|很给力,1
给妈妈买的，妈妈说量有点少不过好用,量|有点少,1
物流超级给力，质量很好，价格也合适,物流|合适,0
好用，补水效果很好，女神节活动，很实惠,活动|很实惠,1
以前也用过这个牌子的面膜，好用保湿！支持**送货迅速,送货|迅速,1
东西不错，是正品，价格便宜，送货快,价格|便宜,1
买给我妈的，包装得到了她的青睐，滋润度对她来说正好，不过有一点点增白效果她不喜欢,滋润度|正好,1
买了几次了，感觉这次的味道跟以前不一样,味道|不一样,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,效果|挺多的,0
这个粉饼好用，送货快，包装盒完好，省时省力,包装盒|完好,1
一直用这个，保湿效果非常好，干性皮肤很适合用，冬天再也不怕天气干燥,保湿效果|非常好,1
物流很快，但是外包装好像有拆了的痕迹，里面的小包装完好。这次网购总体一般，不是太完美,小包装|完好,1
**物流真的没话说，太好了，还没有用，用过后追加,物流|没话说,1
一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是,送货速度|很快,1
面膜很不错，里面精华很多，做天晚上试用了一下，感觉不错，值得购买，并且价格也美丽,价格|很多,0
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,效果|没什么突出的,1
物流很快还是那个味道，正装一如既往的好送的比之前的少了点，寄保质期也比较近了,保质期|很快,0
一大箱，能用很长一段时间了，价格实惠，两件八折，果断买两件，囤货,价格|实惠,1
还不错，遮瑕提亮效果不错，就是稍有点干，皮肤不好的时候会起皮,提亮效果|不错,1
颜色好，主要是适合干性皮肤！感觉挺不错的,颜色|好,1
第一次购买，味道很好闻，不知效果怎么样送货很快，**给力，谢谢期待效果,味道|很快,0
保湿效果还不错,保湿效果|还不错,1
粉扑设计的非常棒，盒子颜值很高。用了再来追评,盒子颜值|很高,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,活动|还挺划算的,1
面膜很好用，**平台有保障，很补水，效果不错的,效果|不错,1
面膜不错，水分精华很多，包装差劲，就一个透明带子装，没有包装盒,包装|很多,0
过母亲节送给妈妈的礼物，价钱合理，赠品很多，希望能达到预期的效果,价钱|很多,0
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,吸收|没感觉到,0
以前一直是在实体店买的，这次网购跟实体店质量差不多，蛮好用，性价比高,性价比|高,1
粉扑好硬。粉液也一般般啦。不过也对的起这个价格。有两个替换装,粉扑|好硬,1
第一次购买使用。效果不知。赠品到位。偿试性购买。物流很给力哦,物流|到位,0
送货速度很快，一直用***的护肤品，很好用,送货速度|很快,1
一大堆啦，可以用好久啦，保湿很不错,保湿|很不错,1
这次领券搞活动屯点货，宝贝不错，就是物流太慢了,物流|太慢了,1
已经是第二次回购了，精华很多，也很补水而且用了二次后我鼻子上长的痘痘有消下去，皮肤也满水润的,精华|很多,1
效果不错！就是有点稠，用彩妆蛋效果比较好,效果|不错,1
卸妆效果很一般嘛，而且包装也很简陋，不建议购买,包装|很简陋,1
面膜用还挺好的自己，补水效果很好快递小哥态度也很好,快递小哥态度|很好,1
都是今天刚收到还未用，快递服务也很好，很常满意,快递服务|很好,1
以前一直用这个品牌，就是不知道这个瓶子经不经摔，服务好,服务|好,1
感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的,味道|还好,1
包装很大气用着很服帖，外观也很漂亮,外观|很漂亮,1
包装严实，物流快，很期待效果，用过再追评,包装|严实,1
物流很快，包装不错，第一次使用这个牌子，期待,包装|不错,1
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,淡斑|没有感觉,0
包装精美，天猫直送很给力，感谢丫头,包装|很给力,0
保湿效果好，裸妆不错,保湿效果|好,1
声明不是盗图，一下买了片，却下了两个单物流快，包装严实,物流|快,1
挺满意的，赠品不少,赠品|不少,1
清洁能力：泡沫适中，非常舒适，对黑头有一定的清洁作用,清洁能力|有一定的,1
面膜纸很薄，很舒服，水分吸收很快就干了，日常补水面膜使用挺好，很清爽,面膜纸|很薄,1
价格很优惠，就是保质期太短了，给个好评鼓给个励，商品很不错,价格|很优惠,1
萍萍直播推荐的，价格真的优惠，还没试洗，看起来还不错的样子,价格|真的优惠,1
第一次在**上买东西，包装完好时间也快,时间|快,1
还不错吧，看上推荐的，价格便宜，具体作用，有待时间的检验,价格|便宜,1
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,清洁效果|很好,0
气味重不好闻，持久度也不好，到中午脸色就蜡黄了,持久度|不好,1
味道清凉不油腻，还未用，用后再来评价，量大。便宜实惠。推荐,味道|清凉,1
感觉上脸有点腻，抹多了会会有点假白，味道也不是很好，防晒力度感觉也还算可以,防晒|还算可以,1
为了***买的，洗面奶的泡沫丰富，洗的干净不干燥,泡沫|丰富,1
物流慢死，付款天才发货，买了几百块也没赠品,物流|没,0
很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般,保湿度|挺好的,0
第二次购买了，第一次买的效果不错,效果|不错,1
性价比很高，很好用，每年都要买好多给婆婆给妈妈，双十一价格超级优惠，很满意,性价比|超级优惠,0
一直信赖的东东，补水保湿效果特别好,补水|特别好,1
包装很好，物流也快。很满意,物流|也快,1
优惠活动时买的，性价比较高，以后还会回购,性价比|较高,1
清洁能力：很给力，回购,清洁能力|很给力,1
服务超级棒，物流很快，东西也是正品，这次网购很高兴,服务|很快,0
宝贝质量很好，给全五分好评，服务态度也很棒，给个赞，物流神速，必须，好评,物流|神速,1
这个面膜可以，价格也不算高，值得购买,价格|不算高,1
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,保湿效果|很好,0
客服态度很好尤其是这个汐曼,客服态度|很好,1
***，大品牌值得信赖，皮肤亮白！服务周到,服务|周到,1
包装盒都没一个，太简陋了点，面膜看起来也很旧，感觉被骗了！找客服也没人答复，服务太差了,包装盒|太简陋了,1
用这款隔离三年了，很好推开而且滋润度也很好！价格也不高，会无限回购,价格|不高,1
个人干湿混合型，上妆比较滋润，相较其他遮瑕，没有那么强，比较轻薄。持久度还是挺ok的,遮瑕|没有那么强,1
味道挺好闻的,味道|挺好闻的,1
物流很快，经常用这款面膜，效果比较好,物流|很快,1
非常喜欢，还没用，但是对于五一期间物流也这么快，真的好的没话说了，赞,物流|这么快,1
**实测款，薄薄一层满满精华素，用了几天，保湿提亮效果不错,精华素|不错,0
补水效果好，一直用这个牌子的，好用,补水效果|好,1
还可以，就想买这个，吸收挺好的，就是包装不是很好,包装|不是很好,1
很好用，泡沫不多但是清洁力跟强，有香味，洗完后很补水,泡沫|跟强,0
整体不错，包装完整，商品还是不错地,包装|完整,1
物流小哥服务特别好，商家也不错给个五星好评吧！好不好用了再追评吧,商家|不错,1
味道很喜欢，洗完脸也很舒服，不干燥也不蜕皮，总之很满意的啦,味道|很喜欢,1
价格便宜活动给力，夏天防晒配卸妆，不错,活动|给力,1
价格很优惠，质量特别好,价格|很优惠,1
宝贝质量不错，客服服务态度也不错。但是物流应该改进，到件几天也不派送，打客服电话也是敷衍了事,物流|应该改进,1
粉扑好硬。粉液也一般般啦。不过也对的起这个价格。有两个替换装,粉液|好硬,0
超级划算，一个原装，两个替换装。盒子很漂亮，用起来润润的,盒子|很漂亮,1
价格实惠物流很快一直信赖,物流|实惠,0
还行吧，不过味道个人不是很喜欢啦,味道|不是很喜欢,1
**的物流超快的，隔天就收到了，点个赞。面膜挺好用的，补水效果不错，价格很实惠，棒棒哒,补水效果|很实惠,0
颜色好看，服务态度很好。物流快速。希望好用，下次再买,物流|很好,0
买给妈妈用的，快递非常给力，产品价格做活动力度大，很便宜,快递|非常给力,1
收到货，还没用，应该不错的，味道很好闻，哈,味道|很好闻,1
精华液很多，敷完吸收很快,吸收|很多,0
对我来说泡沫过于多了，不过质地很温和，洗完之后很舒服,质地|过于多了,0
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,清洁效果|还行,0
东西不错，很实在！非常的好用，物流也非常的快！感觉达到了巅峰,物流|非常的快,1
酒精味很明显,酒精味|很明显,1
一直都用，非常棒，经济实惠，非常棒赠品好多包装挺好,赠品|挺好,0
小海葵服务非常好,服务|非常好,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,发货|优雅,0
物流很快货已收到，试用了一下就是有点黏黏的不知道是不是正品,物流|很快,1
此次活动超级合适，买了整整一大箱子，送货速度非常快！面膜的精华液很多！很好,送货速度|超级合适,0
面膜很好用，保湿效果很好。物美价廉，快递小哥送货速度快，态度很好,保湿效果|快,0
还没用过，美白的那款洁面挺好的,洁面|挺好的,1
上妆效果：上妆效果一般咯，持久情况：持久度不错,上妆效果|一般,1
很多精华液，面膜纸是薄透的，期待效果，物流速度很快,精华液|很多,1
好，价格实惠，很好用买一送一超级划算**物流超快！非常满意,物流|实惠,0
整体描述：包装很紧密，清洁能力：清洁效果好，味道很香,包装|很香,0
特价囤的，物流也快，符合预期,物流|快,1
在实体店看过了，网上价格低一点，效果还不知道,价格|低一点,1
东西还是不错的，很喜欢！物流速度也快，老板人很好，老板娘也很漂亮，还送了小礼物！有需要还会再来！好评,老板|很好,1
物流真是快阿，物美价廉好评,物流|真是快,1
很好用用过好几次了清洁能力：清洗很容易,清洗|很容易,1
补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子,价格|优惠,1
美白效果不是太明显，不过价格挺实惠的，用着感觉也挺好，每天一片也不会觉得浪费，挺好的，棒棒哒,价格|挺实惠的,1
**快递就是快，还没有用，期待使用效果，***水润保湿，相信品牌的力量,快递|就是快,1
粉扑设计的非常棒，盒子颜值很高。用了再来追评,粉扑设计|很高,0
乳液和面霜都带有香味，不是很喜欢，有保湿效果,香味|不是很喜欢,1
面膜不错，水分精华很多，包装差劲，就一个透明带子装，没有包装盒,精华|差劲,0
挺好的，味道闻着不错，后续使用看看效果,味道|闻着不错,1
不错哦。速度很快，。以后就买****的了,速度|很快,1
价格很好的时候入手的，一下子囤了份，很棒了，留着慢慢用吧,价格|很好,1
价钱优惠，看着还不错，这次屯了不少，希望是正品,价钱|优惠,1
用了小样，泡泡很少，感觉清洁不是很够，但是真的很温和,清洁|不是很够,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,活动|很好,0
价格很优惠，就是保质期太短了，给个好评鼓给个励，商品很不错,保质期|太短,1
收到了哦！我很喜欢这个淡淡的香味，而且白的自然，超喜欢！用着好还会再买的,香味|淡淡的,1
好用，卸妆效果非常好，用完会回购,卸妆效果|非常好,1
定妆效果很好，不卡粉。值得拥有,定妆效果|很好,1
洗面奶泡沫不多，洗了还比较干净，也不紧绷，现在换了整套大红瓶，总体来说还可以，发货挺快的，好评,发货|挺快,1
挺好用的遮瑕效果也很好,遮瑕效果|很好,1
包装高档，好用不卡粉，遮瑕效果不错,遮瑕效果|不错,1
宝贝已收到，质量很好，是正品，和卖家描述的一致，物流也很快,物流|很快,1
用过一次就爱上了，很好用，补水效果好,补水效果|好,1
物流很快，一直用这个牌子，质量很好是正品，活动买的很划算,质量|很划算,0
还可以用着还行，价格也挺实惠，还有两个挺好的，特别喜欢，还行吧，总之为了挺好的,价格|挺实惠,1
**快递是蛮快的，就是包装太简便了吧，面膜里的精华都出来了,快递|蛮快的,1
第一次用这个牌子，感觉也还好。一直在**买东西，速度快，质量有保证，相信**，相信,速度|快,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,气味|很干净,0
很好，不卡粉，保湿好,保湿|好,1
上妆效果：上妆效果一般咯，持久情况：持久度不错,持久度|不错,1
挺好用的，快递很快,快递|很快,1
宝贝收到了，跟描述的一样，试用了一下有淡淡的清香味，还可以。满意,清香味|淡淡的,1
第一次用这个牌子的护肤品，不知道怎么样，用用看效果怎么样吧，如果可以就继续回购，物流很快,物流|很快,1
效果很好，价格很便宜,效果|很好,1
价格挺实惠的，用着也很舒服，下次还会来购买的，信赖**，物流速度很快,物流速度|很快,1
宝贝收到了，我要投诉快递员，服务态度不好，还反说我这个人说话不好听,服务态度|不好,1
补水效果非常好！精华液也特别多！好评,精华液|特别多,1
这款气垫真不错的，很接近肤色，不是特别油，有淡淡得香味，太超值了，买一个送两个，这些能用好长时间,香味|淡淡得,1
包装严实，物流快，很期待效果，用过再追评,物流|严实,0
面膜是正品，真正的物美价廉，物流给力快递小哥服务态度很好。点赞！需要的请赶快入手啦,快递小哥服务态度|给力,0
很好用，温和不刺激，清洁力也不错，好评,清洁力|不错,1
宝贝质量很好，**速度快，以后会再回购，现囤货,速度|快,1
精华太少啦,精华|太少,1
很好，味道也很好，用后效果很不错，超级喜欢，下次还会来的,味道|很好,1
很不错，带了两个替换装，保湿效果不错，遮瑕效果很好。也不算太贵，能接受,遮瑕效果|很好,1
整体描述：包装很紧密，清洁能力：清洁效果好，味道很香,清洁能力|好,1
上妆效果：不错，很自然,上妆效果|很自然,1
泛白，不持妆，透气性也很一般，不推荐,透气性|很一般,1
这款面膜补水不错，化妆品我用的也是这款，支持,补水|不错,1
****物流速度快，商品价格优惠,价格|优惠,1
手上试用了一下，味道真的像洗发水，香味有点不太喜欢，质地挺轻薄的，抹上也挺滋润,质地|轻薄,1
物美价廉，快递给力。味道淡淡的清香。挺好用的，泡沫细腻，不紧绷。趁着活动囤货,味道|给力,0
物流超级差，到达目的地天才派送,物流|超级差,1
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,保湿效果|不错,0
是正品一直用的这款隔离，对于我这种黄皮效果很好,效果|很好,1
好，不错价格实惠物流快,物流|快,1
太小一支了哈哈，没想到毫升只有这么一小只，送了礼物很好,礼物|很好,1
补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子,价格|特别好,0
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,物流|很快,1
一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是,送货速度|很好,0
卖家发货速度快的，质量好，价格便宜,发货速度|便宜,0
刚收到，还没用，不知道效果怎么样，快递是真的很快呀,快递|真的很快呀,1
很好，泡沫很细腻,泡沫|很细腻,1
可能是我自身原因，浮粉比较厉害,浮粉|比较厉害,1
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,吸收|没有感觉,0
活动买的，补水效果很好，味道好闻,味道|很好,0
**送货速度真的很快，服务态度也好,送货速度|好,0
老顾客了，超满意，经济又实惠。够用长时间了，客服热心，**快递神速。赞,客服|热心,1
看着不错和以前买的一样还没用快递小哥很给力服务很好,快递小哥|很好,0
以前在实体店买过，在**看到这款，比实体店要便宜太多了，价格优惠，用着也挺好,价格|优惠,1
今天刚收到，物流快，打开了看看，产品一样,物流|快,1
很迷你，很细腻白的不浮夸，淡淡的香味，要好好卸妆,白的|不浮夸,1
很好用的面膜，补水保湿效果好，精华多，比较服帖，薄薄的，很舒服，值得购买,保湿效果|好,1
用了评价，遮瑕效果一般，但是挺润的，没有浮粉,遮瑕效果|一般,1
很好，包装也很好，贴了一次效果很好，需要再回购,包装|很好,1
**速度快，物美价廉，服务好，值得推荐，还会再来,速度|快,1
还没用，送了面膜，包装还不错，忘记拍照了，物流还蛮快,物流|还不错,0
个人干湿混合型，上妆比较滋润，相较其他遮瑕，没有那么强，比较轻薄。持久度还是挺ok的,持久度|比较滋润,0
还没用，今天才打开看看，包装挺好的，等用过以后再来写追评,包装|挺好的,1
粉扑设计的非常棒，盒子颜值很高。用了再来追评,盒子颜值|非常棒,0
**快递速度快，性价比不错，好,快递速度|不错,0
我经常在这家买，但这是的快递太不靠谱了，商家也不解决，只是一个劲的说这处理，以后不在这买了,商家|不解决,1
宝贝质量不错，客服服务态度也不错。但是物流应该改进，到件几天也不派送，打客服电话也是敷衍了事,客服|不错,0
这款气垫挺好用的，细腻，易推开而且价格也实惠会回购的,价格|实惠,1
包装很好，物流也快。很满意,物流|很好,0
清洁能力：总总体来说还好，只是一点点红,清洁能力|还好,1
面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用,精华液量|非常足,1
一次买了两袋，水比较多，用后皮肤光光的,水|比较多,1
老顾客了，超满意，经济又实惠。够用长时间了，客服热心，**快递神速。赞,客服|神速,0
粉扑有一点刺鼻气味，其它的都不错,气味|刺鼻,1
第一次在**上买东西，包装完好时间也快,包装|完好,1
还不错，美容液比较丰富，滑滑的，面膜纸尺寸大小合适，非常服帖脸型，价格也不贵,尺寸大小|比较丰富,0
还可以吧，没用，就是替换少了一个，说是送完了，然后补了十元优惠券，可以了，物流也挺快,物流|挺快,1
水分多，好吸收，不错,水分|多,1
和在门店买的味道不一样，可能是假的,味道|不一样,1
洁面乳收到了，质量很好，有一股淡淡的香味，清洁效果也好,香味|好,0
宝贝到了，还没试，不过包装很满意呢，虽然没送啥小礼品有点遗憾,包装|很满意,1
今天收到，快递给力，用了在追评,快递|给力,1
包装很好看，期待产品效果呦，第一次用这个牌子，但是是好牌子，信得过,包装|很好看,1
清洁度比较好吧，***的洗颜霜确实是比较赞的,清洁度|比较好,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,精华|很多,1
好，和实物描述的一样，不错值得购买，物流也快,物流|快,1
清洁能力：清洁能力挺好的，闻着很清爽，还买一送一很实惠，洗完没有紧绷感,清洁能力|挺好的,1
物流很快，用起来感觉补水效果很明显,物流|很快,1
还不错，有两个替换装味道香，但不刺鼻，可能有点儿掉妆,味道|不刺鼻,1
包装看起来还挺不错，试用了下还可以，香香的味道,味道|香香的,1
还么用，看着不错，期待效果，物流超级给力,物流|超级给力,1
已经是第二次买了，用着不错，秒杀时买的，价位也合理,价位|合理,1
个人情况：给妈妈买的，还没开始用。应该还可以之前买过水乳感觉还行。物流速度倒是挺快的,物流速度|挺快的,1
面膜蛮轻薄的，也很服帖，透气性比较好，才刚用，还没看出效果，水分还可以，总体满意，大品牌让人放心,透气性|比较好,1
垃圾，先不说效果咋样，就你这形状不规整，能让人感觉好嘛,形状|不规整,1
送的片包装还不错,包装|还不错,1
送的手册超级喜欢，面膜也很服帖，**物流也特别给力，满意满意,物流|特别给力,1
很多精华液，面膜纸是薄透的，期待效果，物流速度很快,面膜纸|很快,0
到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢,隔离效果|快,0
果然没骗人，比我用的那些韩国面膜好用，性价比又高，会一直回购,性价比|高,1
很好的面膜，补水效果杠杠滴。我用的所有护肤品都是***的，老牌子值得信赖,补水效果|杠杠滴,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,补水效果|不错,1
发货快，物流给力！早上十点下的单，下午四点多一点就到了,物流|快,0
发货速度和配送服务还是一流的,配送服务|一流的,1
物流好快，已经收到了，试了一下还不错，很水润，喜欢的可以考虑,物流|好快,1
发货快，一如既往的好,发货|快,1
挺好的，东西收到了，快递速度快，给你们点个赞,快递速度|快,1
妆前隔离很好用啊，粉底有香味我不太喜欢有香味的怕熏到对象,粉底|有香味,1
非常喜欢，物超所值。超赞，物流还常快，商家服务好,物流|好,0
已经是第二次回购了，精华很多，也很补水而且用了二次后我鼻子上长的痘痘有消下去，皮肤也满水润的,痘痘|消下去,1
物流很快，东西质量不错，很喜欢,物流|很快,1
卸妆水好清爽不刺激，卸妆很干净，好大一瓶，能用很久，经济实惠,卸妆|很干净,1
收货迅速，不用等太久，叶藻的很保湿，配方最简单最保湿，墨角藻的黑面膜不行，水润面膜很粘不行,收货|迅速,1
